objID,modelMag_u,modelMag_g,modelMag_r,RA,DEC,type
1237651297648247038,22.373,19.25507,18.34895,258.17561585674,64.0164392290247,3
1237671768542544241,20.94275,19.34171,18.71191,258.041085182683,64.1079250877247,6
1237671939804561914,24.95019,24.3986,22.77541,258.112874020619,64.0030032919043,6
1237671939804628292,24.2827,23.22569,22.34353,258.311653094396,63.9988526703746,3
1237671939804627323,24.63732,23.13597,22.23567,258.313143941635,64.0667555383081,3
1237671939804626984,24.77487,23.5525,21.88593,258.312878709961,64.0452169282412,6
1237671939804562546,22.78532,22.32227,20.95516,258.175720109909,64.0334585328912,3
1237671939804562495,22.91893,22.21934,22.02698,258.113923183005,64.0990388981778,3
1237671939804562376,24.44411,22.2908,21.79786,258.041549448238,64.0489018597433,3
1237671939804562148,21.25859,20.39747,19.8231,258.176132051422,64.024716591203,3
1237671939804561904,20.90933,19.32327,18.69038,258.041014050335,64.1079222367053,6
1237671939804561881,24.22303,23.03709,24.11564,258.042121375653,64.0668817908571,6
1237671939804561568,22.23261,25.11438,24.80202,258.175745745201,64.0164710056255,3
1237671939804561508,22.73868,20.48427,19.62609,258.113882490366,64.0340045847573,3
1237651311070020605,24.44023,23.6431,22.67309,258.357926900941,64.0605952524582,6
1237651311070020259,24.98879,22.82954,21.66101,258.356425334432,64.0361758585085,6
1237651311070019661,24.56793,22.45645,21.74749,258.313055220881,64.0451735391992,6
1237651297648312871,22.10131,21.45106,20.81318,258.17562724376,64.0049864646116,3
1237651297648247930,23.35712,22.93527,21.30708,258.175704377137,64.0334518221054,6
1237651297648247911,23.84941,22.57594,21.3268,258.041490110776,64.0488595758121,3
1237651297648247763,23.6066,23.16172,22.20364,258.040640210292,64.0238310124983,6
1237651297648247488,21.20468,20.39768,19.79506,258.176184649628,64.0247248151555,3
1237651297648247129,20.86252,19.29933,18.70808,258.041094705181,64.1079548605722,6
1237651297648246947,23.34266,23.45108,22.70739,258.113860926912,64.0340100370531,6
1237671939804628302,24.34636,23.16945,22.01393,258.311351933447,64.0418944891297,3
1237671939804562527,22.22379,21.44444,20.60001,258.175525031956,64.0049491722851,3
1237671939804561494,24.22702,20.88815,19.46177,258.07233499828,64.0403093853719,6
1237671939804561927,18.50876,16.4937,15.54861,258.135151500146,64.0028043255508,3
1237671939804626969,22.52771,20.71451,19.88731,258.261959715203,64.0573655724052,6
1237671939804562882,25.38175,22.83611,21.75309,258.220576501753,64.0260660602286,3
1237671939804562650,22.07244,22.36415,21.44103,258.26118850432,64.0057200348591,3
1237671939804562600,23.51765,21.91707,21.25225,258.221450117942,64.0352959074202,3
1237671939804562481,21.71534,21.88883,21.4893,258.134742491198,64.0127523958548,3
1237671939804562165,21.94826,20.78845,20.31946,258.261396266464,64.0141335058643,3
1237671939804562159,23.5501,24.85461,22.82652,258.221409214041,64.0131596341617,6
1237671939804562079,21.69815,20.0406,19.25531,258.07160038907,64.0887168331039,3
1237671939804561930,25.18066,23.18167,22.64908,258.135182232238,63.9946279007282,3
1237671939804561887,24.32186,23.66026,21.6512,258.071425805263,64.0043266443146,6
1237671939804561658,23.60674,23.07467,21.93784,258.221491021005,64.0575147914399,3
1237671939804561651,21.34523,20.38214,20.05288,258.220449660988,64.0549485626992,3
1237671939804561632,16.80877,15.73303,15.39342,258.221418932907,64.1014422520531,6
1237671939804561522,23.87719,22.7356,21.49797,258.221293272451,64.0735842619703,6
1237651297648312879,22.16985,20.70251,20.33836,258.261442539857,64.0141564203007,3
1237651297648312505,18.34216,16.44038,15.49345,258.135187273839,64.0027971338695,3
1237651297648312367,24.58082,22.30691,21.85829,258.221577474098,63.9898127624802,6
1237651297648247934,23.9114,22.62822,21.47256,258.221348459597,64.0352304193086,3
1237651297648247644,21.57143,19.91518,19.1039,258.071634947985,64.0887262237897,3
1237651297648246869,16.83978,15.73448,15.39478,258.221457357464,64.1014536317106,6
1237651297648247308,25.34361,23.10284,21.78553,258.071518226503,64.0043092335098,6
1237651297648246964,23.96669,22.47918,21.42008,258.221391497204,64.0735555345034,6
1237651297648246954,21.76441,20.73177,24.80271,258.220587195604,64.0549686174994,6
1237671939804561603,18.14211,16.19026,15.26385,258.226782216971,63.9924176782293,3
1237671939804561605,22.0037,21.53502,20.92018,258.226698786673,64.0006023281425,3
